unique_id,organic_insights_audience_0_string_map_data_follower_percentage_by_age_for_all_genders_value_item,index
ca458db0f6f7b8074251b999c55990fe,13-17: 0.7%,0
ca458db0f6f7b8074251b999c55990fe,18-24: 85.8%,1
ca458db0f6f7b8074251b999c55990fe,25-34: 9%,2
ca458db0f6f7b8074251b999c55990fe,35-44: 2.1%,3
ca458db0f6f7b8074251b999c55990fe,45-54: 2.1%,4
ca458db0f6f7b8074251b999c55990fe,55-64: 0%,5
ca458db0f6f7b8074251b999c55990fe,65+: 0%,6
