unique_id,city,index,percentage
ca458db0f6f7b8074251b999c55990fe,Chennai,0,22.30%
ca458db0f6f7b8074251b999c55990fe,Vellore,1,22.10%
ca458db0f6f7b8074251b999c55990fe,Gudiyattam,2,6.50%
ca458db0f6f7b8074251b999c55990fe,Bangalore,3,4.80%
ca458db0f6f7b8074251b999c55990fe,Arani,4,4.80%
