unique_id,organic_insights_audience_0_string_map_data_follower_percentage_by_age_for_men_value_item,index
ca458db0f6f7b8074251b999c55990fe,13-17: 0.3%,0
ca458db0f6f7b8074251b999c55990fe,18-24: 87%,1
ca458db0f6f7b8074251b999c55990fe,25-34: 8.4%,2
ca458db0f6f7b8074251b999c55990fe,35-44: 2.2%,3
ca458db0f6f7b8074251b999c55990fe,45-54: 1.9%,4
ca458db0f6f7b8074251b999c55990fe,55-64: 0%,5
ca458db0f6f7b8074251b999c55990fe,65+: 0%,6
