unique_id,ig_custom_audiences_all_types_1749_advertiser_name_item,index
3ad6cf85a4c9f533bc65862d7786c248,Hotel Mulia Senayan,0
3ad6cf85a4c9f533bc65862d7786c248,Jakarta,1
