unique_id,ig_custom_audiences_all_types_998_advertiser_name_item,index
3ad6cf85a4c9f533bc65862d7786c248,Mighty Computing,0
3ad6cf85a4c9f533bc65862d7786c248,Inc. dba Playground,1
