unique_id,ig_custom_audiences_all_types_555_advertiser_name_item,index
3ad6cf85a4c9f533bc65862d7786c248,Tyler McBroom,0
3ad6cf85a4c9f533bc65862d7786c248,CPA,1
3ad6cf85a4c9f533bc65862d7786c248,MBA âª,2
