unique_id,devices_devices_3_string_map_data_user_agent_value_item,index
0b5ffdcd1f0c75b9d6908b7c69a6aa28,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML,0
0b5ffdcd1f0c75b9d6908b7c69a6aa28,like Gecko) Chrome/135.0.0.0 Safari/537.36,1
