unique_id,devices_camera_0_string_map_data_supported_sdk_versions_value_item,index
0fe1ac892a24859ec77d3cb2119ebb70,149.0,0
0fe1ac892a24859ec77d3cb2119ebb70,150.0,1
0fe1ac892a24859ec77d3cb2119ebb70,151.0,2
0fe1ac892a24859ec77d3cb2119ebb70,152.0,3
0fe1ac892a24859ec77d3cb2119ebb70,153.0,4
0fe1ac892a24859ec77d3cb2119ebb70,154.0,5
0fe1ac892a24859ec77d3cb2119ebb70,155.0,6
0fe1ac892a24859ec77d3cb2119ebb70,156.0,7
0fe1ac892a24859ec77d3cb2119ebb70,157.0,8
0fe1ac892a24859ec77d3cb2119ebb70,158.0,9
0fe1ac892a24859ec77d3cb2119ebb70,159.0,10
0fe1ac892a24859ec77d3cb2119ebb70,160.0,11
0fe1ac892a24859ec77d3cb2119ebb70,161.0,12
0fe1ac892a24859ec77d3cb2119ebb70,162.0,13
0fe1ac892a24859ec77d3cb2119ebb70,163.0,14
0fe1ac892a24859ec77d3cb2119ebb70,164.0,15
0fe1ac892a24859ec77d3cb2119ebb70,165.0,16
0fe1ac892a24859ec77d3cb2119ebb70,166.0,17
0fe1ac892a24859ec77d3cb2119ebb70,167.0,18
0fe1ac892a24859ec77d3cb2119ebb70,168.0,19
0fe1ac892a24859ec77d3cb2119ebb70,169.0,20
0fe1ac892a24859ec77d3cb2119ebb70,170.0,21
0fe1ac892a24859ec77d3cb2119ebb70,171.0,22
0fe1ac892a24859ec77d3cb2119ebb70,172.0,23
0fe1ac892a24859ec77d3cb2119ebb70,173.0,24
0fe1ac892a24859ec77d3cb2119ebb70,174.0,25
0fe1ac892a24859ec77d3cb2119ebb70,175.0,26
0fe1ac892a24859ec77d3cb2119ebb70,176.0,27
0fe1ac892a24859ec77d3cb2119ebb70,177.0,28
0fe1ac892a24859ec77d3cb2119ebb70,178.0,29
0fe1ac892a24859ec77d3cb2119ebb70,179.0,30
0fe1ac892a24859ec77d3cb2119ebb70,180.0,31
0fe1ac892a24859ec77d3cb2119ebb70,181.0,32
0fe1ac892a24859ec77d3cb2119ebb70,182.0,33
0fe1ac892a24859ec77d3cb2119ebb70,183.0,34
0fe1ac892a24859ec77d3cb2119ebb70,184.0,35
0fe1ac892a24859ec77d3cb2119ebb70,185.0,36
0fe1ac892a24859ec77d3cb2119ebb70,186.0,37
0fe1ac892a24859ec77d3cb2119ebb70,187.0,38
0fe1ac892a24859ec77d3cb2119ebb70,188.0,39
0fe1ac892a24859ec77d3cb2119ebb70,189.0,40
0fe1ac892a24859ec77d3cb2119ebb70,190.0,41
0fe1ac892a24859ec77d3cb2119ebb70,191.0,42
0fe1ac892a24859ec77d3cb2119ebb70,192.0,43
0fe1ac892a24859ec77d3cb2119ebb70,193.0,44
0fe1ac892a24859ec77d3cb2119ebb70,194.0,45
0fe1ac892a24859ec77d3cb2119ebb70,195.0,46
0fe1ac892a24859ec77d3cb2119ebb70,196.0,47
0fe1ac892a24859ec77d3cb2119ebb70,197.0,48
0fe1ac892a24859ec77d3cb2119ebb70,198.0,49
0fe1ac892a24859ec77d3cb2119ebb70,199.0,50
0fe1ac892a24859ec77d3cb2119ebb70,200.0,51
0fe1ac892a24859ec77d3cb2119ebb70,201.0,52
0fe1ac892a24859ec77d3cb2119ebb70,202.0,53
