unique_id,devices_devices_6_string_map_data_user_agent_value_item,index
0b5ffdcd1f0c75b9d6908b7c69a6aa28,Instagram 364.0.0.20.92 (iPhone15,0
0b5ffdcd1f0c75b9d6908b7c69a6aa28,5; iOS 18_2_1; en_GB; en-GB; scale=3.00; 1290x2796; 686006448) AppleWebKit/420+,1
