unique_id,devices_devices_7_string_map_data_user_agent_value_item,index
0b5ffdcd1f0c75b9d6908b7c69a6aa28,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML,0
0b5ffdcd1f0c75b9d6908b7c69a6aa28,like Gecko) Chrome/132.0.0.0 Safari/537.36,1
