unique_id,Age Range,Percentage of Women Followers,Index
ca458db0f6f7b8074251b999c55990fe,13-17,0%,0
ca458db0f6f7b8074251b999c55990fe,18-24,84%,1
ca458db0f6f7b8074251b999c55990fe,25-34,8%,2
ca458db0f6f7b8074251b999c55990fe,35-44,4%,3
ca458db0f6f7b8074251b999c55990fe,45-54,4%,4
ca458db0f6f7b8074251b999c55990fe,55-64,0%,5
ca458db0f6f7b8074251b999c55990fe,65+,0%,6
