ig_stories_0_media_metadata_video_metadata_exif_data_0_device_id,ig_stories_218_media_metadata_video_metadata_music_genre_item,index
android-f293238bf13137f9,Electronic & Dance Music,0
android-f293238bf13137f9,Indie Music,1
android-f293238bf13137f9,Electronica Music,2
android-f293238bf13137f9,Trip Hop Music,3
