ig_stories_0_media_metadata_video_metadata_exif_data_0_device_id,ig_stories_230_media_metadata_photo_metadata_music_genre_item,index
android-f293238bf13137f9,Dance & Club Music,0
android-f293238bf13137f9,Indian Pop Music,1
android-f293238bf13137f9,Dance Pop Music,2
android-f293238bf13137f9,Pop Music,3
