ig_stories_0_media_metadata_video_metadata_exif_data_0_device_id,ig_stories_11_media_metadata_video_metadata_music_genre_item,index
android-f293238bf13137f9,New Wave Music,0
android-f293238bf13137f9,Alternative Music,1
