ig_stories_0_media_metadata_video_metadata_exif_data_0_device_id,ig_stories_193_media_metadata_video_metadata_music_genre_item,index
android-f293238bf13137f9,Hip Hop & Rap Music,0
android-f293238bf13137f9,Conscious Hip Hop & Rap Music,1
android-f293238bf13137f9,Old School Hip Hop & Rap Music,2
android-f293238bf13137f9,Urban Contemporary Music,3
