unique_id,profile_business_0_string_map_data_business_connection_methods_value_item,index
6ff2b1eba865f58a24864221d0f33c89,Comments,0
6ff2b1eba865f58a24864221d0f33c89,Messages,1
6ff2b1eba865f58a24864221d0f33c89,Leads,2
6ff2b1eba865f58a24864221d0f33c89,Calls,3
6ff2b1eba865f58a24864221d0f33c89,Texts,4
6ff2b1eba865f58a24864221d0f33c89,Emails,5
